Title,Summary,Enrollment,Stars,Rating,Link
"
Project Management: Master Project Management - PMP/PMI
","
Master Project Management using this practical certification course
","
14,244 students
",4.6," (4,592 ratings)",https://www.udemy.com/course/project-management-mastery/
"
Certified Six Sigma Yellow Belt Training
","
ASQ® CSSYB® Exam Preparation Online Course - Plain and Simple Language
","
15,757 students
",4.5," (4,537 ratings)",https://www.udemy.com/course/six-sigma-yellow-belt/
"
Leadership: How to Influence, Inspire and Impact as a Leader
","
Leading Others Using Effective Leadership Methods That'll Get You Results! Influence, Inspire & Impact as a Leader
","
13,606 students
",4.4," (4,491 ratings)",https://www.udemy.com/course/leadership-influence-everyone/
"
12 Strategies for Dealing With Difficult People
","
Learn how to confidently implement different strategies for dealing with difficult people.
","
10,742 students
",4.4," (4,476 ratings)",https://www.udemy.com/course/12-strategies-for-dealing-with-difficult-people/
"
Management Skills - Team Leadership Skills Masterclass 2020
","
Leadership & Management Skills - Change Management- Lean BPM Management Skills - Team Management - Team Building
","
26,417 students
",4.5," (4,436 ratings)",https://www.udemy.com/course/leadership-and-lean-management-masterclass/
"
PMI-ACP Exam Prep for PMBOK 6
","
Pass the PMI-ACP Exam based on PMBOK Guide 6: Everything You Need to Pass the PMI-ACP
","
25,484 students
",4.6," (7,349 ratings)",https://www.udemy.com/course/pmi_acp_exam_prep/
"
Seth Godin's Freelancer Course
","
Become Remarkable, Find Better Clients, and Do Work That Matters
","
24,450 students
",4.6," (4,364 ratings)",https://www.udemy.com/course/seth-godin-freelancer-course/
"
Business Analysis Modeling Skills & Techniques
","
Learn to create Process Flowcharts, User Stories, Use Cases, SWOT, RACI Matrices, Org Charts, User Stories, and more!
","
26,775 students
",4.5," (4,332 ratings)",https://www.udemy.com/course/visual-modeling-master-class/
"
Master Course in Tableau 10 & 2020 for Business Intelligence
","
Master data visualization in tableau desktop. Covers tableau certification syllabus and more. Tableau Tutorials
","
18,982 students
",4.5," (4,330 ratings)",https://www.udemy.com/course/mastertableau/
"
Start Trading Stocks Using Technical Analysis!
","
Learn the secrets of professional trading from a former stock broker, and make profits investing today!
","
18,236 students
",4.5," (4,235 ratings)",https://www.udemy.com/course/professional-stock-trader/
"
Mastering Agile Scrum Project Management
","
Review and master agile development & scrum methodologies for your career. Accredited PMI Provider.
","
26,271 students
",4.3," (4,221 ratings)",https://www.udemy.com/course/mastering-agile-scrum-project-management-pmi-rep/
"
Blogging Masterclass: How To Build A Successful Blog In 2020
","
Build a successful blog using these proven blogging strategies for content, promotion, list building, and monetization
","
23,044 students
",4.6," (4,163 ratings)",https://www.udemy.com/course/build-a-blog/
"
Business Analyst: Software Testing Processes & Techniques
","
Reduce project bugs with repeatable testing processes. Learn to create test cases, scenarios, track defects, & more!
","
18,666 students
",4.4," (4,124 ratings)",https://www.udemy.com/course/software-testing-business-analyst/
"
[2020] The Complete Management Skills Certification Course
","
Used at Amazon®, Unilever®, Walmart®, and other top firms. Learn leadership, productivity, communication skills & more!
","
28,284 students
",4.3," (4,001 ratings)",https://www.udemy.com/course/new-manager-training/
"
Risk Management for Cybersecurity and IT Managers
","
The management's guide to understanding Risk Management decisions in cybersecurity and information technology (IT)!
","
11,247 students
",4.5," (3,954 ratings)",https://www.udemy.com/course/risk-management-for-cybersecurity/
"
Lean Leadership Skills, Lean Culture & Lean Management
","
Leading Change: Lean Culture, Lean Manufacturing, Continuous Improvement & Toyota Production System
","
14,192 students
",4.5," (3,946 ratings)",https://www.udemy.com/course/lean-leadership-lean-culture-change-management/
"
Culture | How to Make Team Decisions
","
Understand how collaborating with your team to make decisions can drive motivation and innovation
","
7,141 students
",4.3," (3,929 ratings)",https://www.udemy.com/course/culture-how-to-make-team-decisions/
"
Supply Chain Fundamentals: Understanding the Basics
","
Learn the Skills to be a Supply Chain Professional. Save Thousands each Month Thinking Like a Supply Chain Expert.
","
13,159 students
",4.4," (3,923 ratings)",https://www.udemy.com/course/save-1000s-each-month-thinking-like-a-supply-chain-expert/
"
Administrative Human Resources (HR) for Beginners
","
This course is an introduction to the role and duties of Human Resources (HR).
","
9,355 students
",4.3," (3,906 ratings)",https://www.udemy.com/course/administrative-human-resources-for-beginners/
"
Business Development & B2B Sales for Startups- Sales Valley
","
The Complete Startup Playbook for Business Development & B2B Sales to learn Lead Generation, Pitching, & Closing Deals.
","
17,477 students
",4.5," (3,829 ratings)",https://www.udemy.com/course/businessdevelopment-b2b-sales-for-startups-sales-valley/
"
SPSS Masterclass: Learn SPSS From Scratch to Advanced
","
A complete step by step course to master IBM SPSS Statistics for doing advanced Research, Statistics & Data Analysis
","
15,640 students
",4.4," (3,793 ratings)",https://www.udemy.com/course/spss-statistics-foundation-course-from-scratch-to-advanced/
"
ISO/IEC 27001. Information Security Management System.
","
Learn how your company can protect its information and get certified to ISO/IEC 27001
","
12,851 students
",4.3," (3,788 ratings)",https://www.udemy.com/course/isoiec-27001-information-security-management-system/
"
Ask Better Questions - Build Better Relationships
","
Asking questions connects and engages; deepens & strengthens our relationships. Good questions reduce tension & conflict
","
14,456 students
",4.4," (3,780 ratings)",https://www.udemy.com/course/build-better-relationships/
"
Excel Crash Course: Master Excel for Financial Analysis
","
Beginner to Advanced: Learn Excel Shortcuts, Formulas & Functions for Financial Modeling & Corporate Finance
","
20,485 students
",4.4," (3,753 ratings)",https://www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/
"
Innovative Growth Strategy: A Beginner's Guide
","
Outthink the Competition: Learn to think strategically, produce innovative growth ideas and accelerate profitable growth
","
6,471 students
",4.4," (3,732 ratings)",https://www.udemy.com/course/innovative-growth-strategy-a-beginners-guide/
"
Lean Management For All Sectors (Dutch BKO Accredited)
","
University lecturers. Practical. Six Sigma case. Lean management for manufacturing and services training & certification
","
12,999 students
",4.5," (3,730 ratings)",https://www.udemy.com/course/leanmanagement/
"
The Complete Product Management Course
","
Learn the skills, tools, and processes needed to become an irreplaceable PM. Examples from NASA, Google, Zappos, Apple
","
16,382 students
",4.4," (3,708 ratings)",https://www.udemy.com/course/the-complete-product-management-course/
"
The Complete QlikView Boot Camp
","
Learn QlikView for Data Analytics - Designer & Developer step by step. Real-World Data Analytics. Real data included.
","
16,268 students
",4.5," (3,687 ratings)",https://www.udemy.com/course/the-complete-qlikview-boot-camp/
"
Punctuation Mastery
","
A Non-Technical Guide To Using Punctuation With Style
","
23,245 students
",4.5," (3,672 ratings)",https://www.udemy.com/course/punctuation-mastery/
"
Financial Planning & Analysis: Building a Company's Budget
","
Learn the Fundamental Mechanics of Financial Planning and Position Your Career for Success!
","
17,156 students
",4.2," (3,664 ratings)",https://www.udemy.com/course/financial-planning-analysis-building-a-companys-budget/
